UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
212,1,61,12,5,2,0,0,2,0,0,0,0,4,4,2,0,2,9,29,0,1,0,1,0,0
213,1,23,2,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
214,1,12,5,8,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
215,1,19,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,10,4,0,0,0,0,0,0
216,1,12,20,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
217,1,50,1,22,3,0,1,0,0,0,0,0,4,3,0,0,3,5,6,0,1,2,0,0,0
218,1,71,71,54,2,1,0,0,0,0,1,0,0,2,0,0,0,3,7,0,0,0,0,1,0
219,1,26,38,16,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,0,0,0,0
220,1,27,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
221,1,15,40,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
222,1,42,33,1,6,0,0,0,0,0,0,1,1,3,3,0,1,16,6,0,2,1,0,0,1
223,1,47,2,6,4,0,0,1,0,0,1,0,1,2,2,0,1,22,6,0,1,0,0,0,0
224,1,65,3,4,5,1,2,0,0,0,0,1,2,6,4,0,1,28,5,0,3,1,0,0,2
225,1,25,15,2,3,0,0,0,0,0,1,0,0,3,0,0,0,3,13,0,0,0,0,0,0
226,1,21,85,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0
227,1,27,19,11,3,0,0,0,0,0,0,0,3,2,1,0,1,2,2,0,0,1,0,0,1
228,1,155,2,112,6,0,0,0,0,0,0,0,9,5,0,1,3,10,9,0,0,0,0,0,0
229,1,26,3,13,3,0,0,0,0,0,0,0,0,3,0,0,1,5,1,0,0,0,0,0,0
230,1,53,32,10,0,0,0,0,0,0,0,0,4,2,0,0,6,25,5,0,1,0,0,0,0
231,1,103,5,6,1,0,7,1,0,0,0,1,2,2,54,0,0,9,9,1,3,5,0,1,1
232,1,56,35,28,3,0,1,1,0,0,0,0,1,1,1,2,1,8,4,0,0,1,1,1,2
233,1,32,46,25,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0
234,1,13,114,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1,31,4,5,2,0,0,0,0,0,0,0,2,1,0,0,2,14,3,0,0,0,0,0,2
236,1,37,14,33,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
237,1,23,6,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,1,28,28,1,1,0,0,0,0,1,0,0,0,2,0,0,1,20,1,0,1,0,0,0,0
239,1,16,2,5,0,0,0,0,0,0,2,1,0,3,0,0,1,2,1,0,0,0,0,0,1
240,1,23,69,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0
241,1,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,1,95,6,52,0,0,3,1,0,0,0,1,0,7,3,0,1,13,13,0,1,0,0,0,0
243,1,19,36,1,2,0,0,0,0,0,0,0,0,1,0,0,1,13,1,0,0,0,0,0,0
244,1,46,7,1,1,0,1,0,0,0,1,1,1,4,1,0,3,20,6,0,0,3,0,0,3
245,1,41,20,5,17,0,0,0,0,0,0,0,3,1,1,0,4,6,4,0,0,0,0,0,0
246,1,28,14,4,1,0,0,0,1,0,0,0,1,11,0,0,1,5,3,0,0,0,0,0,1
247,1,33,7,26,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0
248,1,80,64,57,3,0,0,2,1,1,1,0,4,1,1,0,2,1,6,0,0,0,0,0,0
249,1,25,12,3,0,0,0,0,0,0,0,0,4,2,0,1,1,11,3,0,0,0,0,0,0
250,1,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
251,1,26,1,4,0,0,0,0,0,0,1,0,1,9,0,0,1,3,4,0,0,0,0,1,2
252,1,19,14,15,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
253,1,12,18,4,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,0,1,0,0,0,0
254,1,152,31,126,5,0,0,0,1,0,1,0,0,1,0,0,6,4,6,0,1,1,0,0,0
