obj#,nonMCost,sCost,rCost,wCost,cCost,tCost,mCost,locationt=0  
j=0,74430700002700,74430700000000,0,0,1000,1700,0,1
j=1,44884700002970,44884700000000,0,0,1100,1870,0,1
j=2,3254473600111540,3254473600000000,0,0,33000,78540,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,23728253901126340,23728253900000000,0,0,398000,728340,0,1
j=5,753480000035100,753480000000000,0,0,13000,22100,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1205028000045900,1205028000000000,0,0,17000,28900,0,1
j=8,639863000045920,639863000000000,0,0,16000,29920,0,1
j=9,1076666500080730,1076666500000000,0,0,29900,50830,0,1
j=10,4801744600232470,4801744600000000,0,0,81000,151470,0,1
j=11,2029969400075600,2029969400000000,0,0,28000,47600,0,1
j=12,4041439000164160,4041439000000000,0,0,54000,110160,0,1
j=13,25031100003100,25031100000000,0,0,1100,2000,0,1
j=14,429834000024300,429834000000000,0,0,9000,15300,0,1

t=18  
j=0,86017900008100,86017900000000,0,0,3000,5100,0,1
j=1,59572700002970,59572700000000,0,0,1100,1870,0,1
j=2,3758783200087880,3758783200000000,0,0,26000,61880,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,27113132301024460,27113132300000000,0,0,362000,662460,0,1
j=5,896760000021600,896760000000000,0,0,8000,13600,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1365516000070200,1365516000000000,0,0,26000,44200,0,1
j=8,808073000031570,808073000000000,0,0,11000,20570,0,1
j=9,1317491500065205,1317491500000000,0,0,24150,41055,0,1
j=10,5582128600166460,5582128600000000,0,0,58000,108460,0,1
j=11,2276970200118800,2276970200000000,0,0,44000,74800,0,1
j=12,4512205000179360,4512205000000000,0,0,59000,120360,0,1
j=13,37148700003100,37148700000000,0,0,1100,2000,0,1
j=14,490496400013500,490496400000000,0,0,5000,8500,0,1

t=19  
j=0,105443500002700,105443500000000,0,0,1000,1700,0,1
j=1,74260700002970,74260700000000,0,0,1100,1870,0,1
j=2,4188119200111540,4188119200000000,0,0,33000,78540,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,30222197901151810,30222197900000000,0,0,407000,744810,0,1
j=5,994200000027000,994200000000000,0,0,10000,17000,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1678068000075600,1678068000000000,0,0,28000,47600,0,1
j=8,936173000040180,936173000000000,0,0,14000,26180,0,1
j=9,1516001500065205,1516001500000000,0,0,24150,41055,0,1
j=10,6178768600189420,6178768600000000,0,0,66000,123420,0,1
j=11,2734887800081000,2734887800000000,0,0,30000,51000,0,1
j=12,5022403000218880,5022403000000000,0,0,72000,146880,0,1
j=13,49266300003100,49266300000000,0,0,1100,2000,0,1
j=14,524917200021600,524917200000000,0,0,8000,13600,0,1

t=20  
j=0,117030700005400,117030700000000,0,0,2000,3400,0,1
j=1,88948700005940,88948700000000,0,0,2200,3740,0,1
j=2,4695632800114920,4695632800000000,0,0,34000,80920,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,33835469901134830,33835469900000000,0,0,401000,733830,0,1
j=5,1107960000027000,1107960000000000,0,0,10000,17000,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1986732000072900,1986732000000000,0,0,27000,45900,0,1
j=8,1082963000031570,1082963000000000,0,0,11000,20570,0,1
j=9,1710221500055890,1710221500000000,0,0,20700,35190,0,1
j=10,6804343000203770,6804343000000000,0,0,71000,132770,0,1
j=11,3033104600086400,3033104600000000,0,0,32000,54400,0,1
j=12,5646061000185440,5646061000000000,0,0,61000,124440,0,1
j=13,61383900003100,61383900000000,0,0,1100,2000,0,1
j=14,574503600013500,574503600000000,0,0,5000,8500,0,1

t=21  
j=0,132877900005400,132877900000000,0,0,2000,3400,0,1
j=1,109036700002970,109036700000000,0,0,1100,1870,0,1
j=2,5224613200141960,5224613200000000,0,0,42000,99960,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,37358698701177280,37358698700000000,0,0,416000,761280,0,1
j=5,1216440000043200,1216440000000000,0,0,16000,27200,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,2316564000083700,2316564000000000,0,0,31000,52700,0,1
j=8,1211063000051660,1211063000000000,0,0,18000,33660,0,1
j=9,1881041500049680,1881041500000000,0,0,18400,31280,0,1
j=10,7484195800264040,7484195800000000,0,0,92000,172040,0,1
j=11,3373923800072900,3373923800000000,0,0,27000,45900,0,1
j=12,6164815000173280,6164815000000000,0,0,57000,116280,0,1
j=13,73501500003100,73501500000000,0,0,1100,2000,0,1
j=14,608924400032400,608924400000000,0,0,12000,20400,0,1

t=22  
j=0,148725100008100,148725100000000,0,0,3000,5100,0,1
j=1,123724700005940,123724700000000,0,0,2200,3740,0,1
j=2,5914114000128440,5914114000000000,0,0,38000,90440,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
