datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=8,15299,0,45897000000000,40200000000000,0,16000,4000,86097000016000
j=8,15299,1,61196000000000,0,0,7480,2200,61196000007480
j=9,22331,0,51361300000000,120405000000000,0,36800,9200,171766300036800
j=9,22331,1,93790200000000,0,0,15640,4600,93790200015640
j=10,106876,0,324903000000000,305400000000000,0,108000,27000,630303000108000
j=10,106876,1,427504000000000,0,0,50490,14850,427504000050490
j=11,28224,0,84672000000000,130800000000000,0,36000,9000,215472000036000
j=11,28224,1,134346200000000,0,0,15300,4500,134346200015300
j=12,151595,0,333509000000000,357900000000000,0,92000,23000,691409000092000
j=12,151595,1,606380000000000,0,0,46920,13800,606380000046920
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,11805,0,23610000000000,20400000000000,0,4000,1000,44010000004000
j=14,11805,1,43442400000000,0,0,1700,500,43442400001700

t=9  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,58096,0,241679300000000,207900000000000,0,56000,14000,449579300056000
j=2,58096,1,378785900000000,0,0,33320,9800,378785900033320
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,990901,0,1981802000000000,2255400000000000,0,636000,159000,4237202000636000
j=4,990901,1,3884331900000000,0,0,290970,85860,3884331900290970
j=5,17865,0,57168000000000,40200000000000,0,16000,4000,97368000016000
j=5,17865,1,85752000000000,0,0,6800,2000,85752000006800
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,22705,0,72656000000000,78900000000000,0,28000,7000,151556000028000
j=7,22705,1,90820000000000,0,0,11900,3500,90820000011900
j=8,19319,0,57957000000000,53100000000000,0,20000,5000,111057000020000
j=8,19319,1,77276000000000,0,0,9350,2750,77276000009350
j=9,32801,0,75442300000000,62790000000000,0,18400,4600,138232300018400
j=9,32801,1,137764200000000,0,0,7820,2300,137764200007820
j=10,137416,0,417744600000000,339000000000000,0,120000,30000,756744600120000
j=10,137416,1,549664000000000,0,0,56100,16500,549664000056100
j=11,41304,0,123912000000000,175500000000000,0,52000,13000,299412000052000
j=11,41304,1,196607000000000,0,0,22100,6500,196607000022100
j=12,187385,0,412247000000000,310500000000000,0,80000,20000,722747000080000
j=12,187385,1,749540000000000,0,0,40800,12000,749540000040800
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,13845,0,27690000000000,40200000000000,0,16000,4000,67890000016000
j=14,13845,1,50949600000000,0,0,6800,2000,50949600006800

t=10  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,78886,0,328165700000000,207900000000000,0,56000,14000,536065700056000
j=2,78886,1,514336700000000,0,0,33320,9800,514336700033320
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,1216441,0,2432882000000000,2949600000000000,0,848000,212000,5382482000848000
j=4,1216441,1,4768448700000000,0,0,387960,114480,4768448700387960
j=5,21885,0,70032000000000,73500000000000,0,24000,6000,143532000024000
j=5,21885,1,105048000000000,0,0,10200,3000,105048000010200
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,30595,0,97904000000000,53100000000000,0,20000,5000,151004000020000
j=7,30595,1,122380000000000,0,0,8500,2500,122380000008500
j=8,24629,0,73887000000000,76800000000000,0,24000,6000,150687000024000
j=8,24629,1,98516000000000,0,0,11220,3300,98516000011220
j=9,38261,0,88000300000000,127650000000000,0,41400,10350,215650300041400
j=9,38261,1,160696200000000,0,0,17595,5175,160696200017595
j=10,171316,0,520800600000000,510300000000000,0,152000,38000,1031100600152000
j=10,171316,1,685264000000000,0,0,71060,20900,685264000071060
j=11,58854,0,176562000000000,162300000000000,0,52000,13000,338862000052000
j=11,58854,1,280145000000000,0,0,22100,6500,280145000022100
j=12,218435,0,480557000000000,491100000000000,0,132000,33000,971657000132000
j=12,218435,1,873740000000000,0,0,67320,19800,873740000067320
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,17865,0,35730000000000,40200000000000,0,16000,4000,75930000016000
j=14,17865,1,65743200000000,0,0,6800,2000,65743200006800

t=11  
j=0,114,0,228000000000,20400000000000,0,4000,1000,20628000004000
j=0,114,1,419500000000,0,0,1700,500,419500001700
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,99676,0,414652100000000,208200000000000,0,56000,14000,622852100056000
j=2,99676,1,649887500000000,0,0,33320,9800,649887500033320
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,1511401,0,3022802000000000,3215700000000000,0,900000,225000,6238502000900000
j=4,1511401,1,5924691900000000,0,0,411750,121500,5924691900411750
j=5,29235,0,93552000000000,48300000000000,0,12000,3000,141852000012000
j=5,29235,1,140328000000000,0,0,5100,1500,140328000005100
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,35905,0,114896000000000,78900000000000,0,28000,7000,193796000028000
j=7,35905,1,143620000000000,0,0,11900,3500,143620000011900
j=8,32309,0,96927000000000,40800000000000,0,8000,2000,137727000008000
j=8,32309,1,129236000000000,0,0,3740,1100,129236000003740
j=9,49361,0,113530300000000,120405000000000,0,36800,9200,233935300036800
j=9,49361,1,207316200000000,0,0,15640,4600,207316200015640
j=10,222346,0,675931800000000,387000000000000,0,112000,28000,1062931800112000
j=10,222346,1,889384000000000,0,0,52360,15400,889384000052360
j=11,75084,0,225252000000000,223500000000000,0,72000,18000,448752000072000
j=11,75084,1,357399800000000,0,0,30600,9000,357399800030600
j=12,267545,0,588599000000000,468900000000000,0,128000,32000,1057499000128000
j=12,267545,1,1070180000000000,0,0,65280,19200,1070180000065280
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,21885,0,43770000000000,73500000000000,0,24000,6000,117270000024000
j=14,21885,1,80536800000000,0,0,10200,3000,80536800010200

t=12  
j=0,2154,0,4308000000000,20400000000000,0,4000,1000,24708000004000
j=0,2154,1,7926700000000,0,0,1700,500,7926700001700
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,120496,0,501263300000000,350100000000000,0,88000,22000,851363300088000
j=2,120496,1,785633900000000,0,0,52360,15400,785633900052360
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,1832971,0,3665942000000000,3664200000000000,0,1044000,261000,7330142001044000
j=4,1832971,1,7185246300000000,0,0,477630,140940,7185246300477630
j=5,34065,0,109008000000000,93900000000000,0,28000,7000,202908000028000
j=5,34065,1,163512000000000,0,0,11900,3500,163512000011900
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,43795,0,140144000000000,171600000000000,0,48000,12000,311744000048000
j=7,43795,1,175180000000000,0,0,20400,6000,175180000020400
j=8,36389,0,109167000000000,97200000000000,0,28000,7000,206367000028000
j=8,36389,1,145556000000000,0,0,13090,3850,145556000013090
j=9,59831,0,137611300000000,242190000000000,0,73600,18400,379801300073600
j=9,59831,1,251290200000000,0,0,31280,9200,251290200031280
j=10,261046,0,793579800000000,747600000000000,0,224000,56000,1541179800224000
j=10,261046,1,1044184000000000,0,0,104720,30800,1044184000104720
j=11,97434,0,292302000000000,231600000000000,0,76000,19000,523902000076000
j=11,97434,1,463785800000000,0,0,32300,9500,463785800032300
j=12,314435,0,691757000000000,546600000000000,0,152000,38000,1238357000152000
j=12,314435,1,1257740000000000,0,0,77520,22800,1257740000077520
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,29235,0,58470000000000,73500000000000,0,24000,6000,131970000024000
j=14,29235,1,107584800000000,0,0,10200,3000,107584800010200

t=13  
j=0,4194,0,8388000000000,20400000000000,0,4000,1000,28788000004000
j=0,4194,1,15433900000000,0,0,1700,500,15433900001700
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,155506,0,646904900000000,294900000000000,0,76000,19000,941804900076000
j=2,155506,1,1013899100000000,0,0,45220,13300,1013899100045220
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,2199391,0,4398782000000000,4061100000000000,0,1132000,283000,8459882001132000
j=4,2199391,1,8621612700000000,0,0,517890,152820,8621612700517890
j=5,43455,0,139056000000000,170400000000000,0,48000,12000,309456000048000
j=5,43455,1,208584000000000,0,0,20400,6000,208584000020400
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,60955,0,195056000000000,296700000000000,0,76000,19000,491756000076000
j=7,60955,1,243820000000000,0,0,32300,9500,243820000032300
j=8,46109,0,138327000000000,175200000000000,0,48000,12000,313527000048000
j=8,46109,1,184436000000000,0,0,22440,6600,184436000022440
j=9,80891,0,186049300000000,182505000000000,0,55200,13800,368554300055200
j=9,80891,1,339742200000000,0,0,23460,6900,339742200023460
j=10,335806,0,1020850200000000,828300000000000,0,236000,59000,1849150200236000
j=10,335806,1,1343224000000000,0,0,110330,32450,1343224000110330
j=11,120594,0,361782000000000,384300000000000,0,120000,30000,746082000120000
j=11,120594,1,574027400000000,0,0,51000,15000,574027400051000
j=12,369095,0,812009000000000,687000000000000,0,184000,46000,1499009000184000
j=12,369095,1,1476380000000000,0,0,93840,27600,1476380000093840
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,36585,0,73170000000000,150000000000000,0,44000,11000,223170000044000
j=14,36585,1,134632800000000,0,0,18700,5500,134632800018700

t=14  
j=0,6234,0,12468000000000,20400000000000,0,4000,1000,32868000004000
j=0,6234,1,22941100000000,0,0,1700,500,22941100001700
j=1,114,0,346500000000,20400000000000,0,4100,1100,20746500004100
j=1,114,1,474200000000,0,0,1870,550,474200001870
j=2,184996,0,769583300000000,378300000000000,0,96000,24000,1147883300096000
j=2,184996,1,1206173900000000,0,0,57120,16800,1206173900057120
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,2605501,0,5211002000000000,4405200000000000,0,1236000,309000,9616202001236000
j=4,2605501,1,10213563900000000,0,0,565470,166860,10213563900565470
j=5,60495,0,193584000000000,81000000000000,0,24000,6000,274584000024000
j=5,60495,1,290376000000000,0,0,10200,3000,290376000010200
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,90625,0,290000000000000,171600000000000,0,48000,12000,461600000048000
j=7,90625,1,362500000000000,0,0,20400,6000,362500000020400
j=8,63629,0,190887000000000,60600000000000,0,20000,5000,251487000020000
j=8,63629,1,254516000000000,0,0,9350,2750,254516000009350
j=9,96761,0,222550300000000,274620000000000,0,78200,19550,497170300078200
j=9,96761,1,406396200000000,0,0,33235,9775,406396200033235
j=10,418636,0,1272653400000000,743700000000000,0,212000,53000,2016353400212000
j=10,418636,1,1674544000000000,0,0,99110,29150,1674544000099110
j=11,159024,0,477072000000000,272400000000000,0,92000,23000,749472000092000
j=11,159024,1,756954200000000,0,0,39100,11500,756954200039100
