datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=132,1339,1,24637600000000,0,0,605200,178000,24637600605200
j=133,177,0,1770000000000,1555800000000000,0,452000,113000,1557570000452000
j=133,177,1,3256800000000,0,0,192100,56500,3256800192100
j=134,114,0,1140000000000,5649000000000000,0,1588000,397000,5650140001588000
j=134,114,1,2097600000000,0,0,674900,198500,2097600674900
j=135,1465,0,14650000000000,7037100000000000,0,1868000,467000,7051750001868000
j=135,1465,1,26956000000000,0,0,793900,233500,26956000793900
j=136,1339,0,13390000000000,15982800000000000,0,4292000,1073000,15996190004292000
j=136,1339,1,24637600000000,0,0,1824100,536500,24637601824100
j=137,256,0,2560000000000,995400000000000,0,272000,68000,997960000272000
j=137,256,1,4710400000000,0,0,115600,34000,4710400115600
j=138,1339,0,13390000000000,7119900000000000,0,1840000,460000,7133290001840000
j=138,1339,1,24637600000000,0,0,782000,230000,24637600782000
j=139,516,0,5160000000000,2949900000000000,0,808000,202000,2955060000808000
j=139,516,1,9494400000000,0,0,343400,101000,9494400343400
j=140,1470,0,14700000000000,16200900000000000,0,4296000,1074000,16215600004296000
j=140,1470,1,27048000000000,0,0,1825800,537000,27048001825800
j=141,2300,0,23000000000000,6715200000000000,0,1832000,458000,6738200001832000
j=141,2300,1,42320000000000,0,0,778600,229000,42320000778600
j=142,1035,0,10350000000000,46797000000000000,0,12536000,3134000,46807350012536000
j=142,1035,1,19044000000000,0,0,5327800,1567000,19044005327800
j=143,2398,0,23980000000000,21675600000000000,0,5844000,1461000,21699580005844000
j=143,2398,1,44123200000000,0,0,2483700,730500,44123202483700
j=144,1630,0,16300000000000,20602200000000000,0,5540000,1385000,20618500005540000
j=144,1630,1,29992000000000,0,0,2354500,692500,29992002354500
j=145,1470,0,14700000000000,3891000000000000,0,1052000,263000,3905700001052000
j=145,1470,1,27048000000000,0,0,447100,131500,27048000447100
j=146,1392,0,13920000000000,9076200000000000,0,2356000,589000,9090120002356000
j=146,1392,1,25612800000000,0,0,1001300,294500,25612801001300
j=147,2222,0,22220000000000,1539233700000000000,0,411388000,102847000,1539255920411388000
j=147,2222,1,40884800000000,0,0,174839900,51423500,40884974839900
j=148,256,0,2560000000000,1218300000000000,0,360000,90000,1220860000360000
j=148,256,1,4710400000000,0,0,153000,45000,4710400153000
j=149,134,0,1340000000000,1625700000000000,0,460000,115000,1627040000460000
j=149,134,1,2465600000000,0,0,195500,57500,2465600195500
j=150,300,0,3000000000000,739800000000000,0,216000,54000,742800000216000
j=150,300,1,5520000000000,0,0,91800,27000,5520000091800
j=151,114,0,1140000000000,380400000000000,0,96000,24000,381540000096000
j=151,114,1,2097600000000,0,0,40800,12000,2097600040800
